# Individual psuedo-acceleration response spectra in units of cm/s2 computed by the
# SCEC broadband platform for the ground motion.
# Period (s),PSA NS (cm/s2),PSA EW (cm/s2),PSA UD (cm/s2)
2.000000e+01,8.994800e-04,1.059400e-03,7.684800e-04
1.499900e+01,1.603100e-03,1.765500e-03,1.442100e-03
1.400000e+01,1.847200e-03,1.991000e-03,1.686200e-03
1.300100e+01,2.155100e-03,2.259200e-03,1.995900e-03
1.200000e+01,2.549900e-03,2.590400e-03,2.404300e-03
1.100000e+01,3.079500e-03,3.173900e-03,2.954500e-03
1.000000e+01,3.814800e-03,3.961800e-03,3.718800e-03
9.500300e+00,4.295700e-03,4.448500e-03,4.217200e-03
9.000100e+00,4.882400e-03,5.009700e-03,4.819400e-03
8.499800e+00,5.606600e-03,5.653800e-03,5.556800e-03
8.000000e+00,6.519000e-03,6.397500e-03,6.465400e-03
7.500200e+00,7.688300e-03,7.255800e-03,7.594800e-03
6.999900e+00,9.211800e-03,8.247700e-03,9.011500e-03
6.499800e+00,1.122100e-02,9.416300e-03,1.079200e-02
5.999900e+00,1.390800e-02,1.083900e-02,1.303400e-02
5.499900e+00,1.751500e-02,1.298700e-02,1.578700e-02
5.000000e+00,2.237100e-02,1.699000e-02,1.907700e-02
4.800100e+00,2.472300e-02,1.909000e-02,2.049000e-02
4.600000e+00,2.733600e-02,2.154500e-02,2.193800e-02
4.400100e+00,3.022100e-02,2.439800e-02,2.336500e-02
4.199900e+00,3.339600e-02,2.769100e-02,2.633100e-02
4.000000e+00,3.955100e-02,3.147800e-02,3.207700e-02
3.800000e+00,4.827700e-02,3.700700e-02,3.876000e-02
3.600000e+00,5.871100e-02,4.526300e-02,4.634600e-02
3.400000e+00,7.086400e-02,5.572100e-02,5.465500e-02
3.200000e+00,8.451900e-02,6.875100e-02,6.345000e-02
3.000000e+00,9.957500e-02,8.433200e-02,7.234000e-02
2.800000e+00,1.153500e-01,1.021400e-01,8.094300e-02
2.600000e+00,1.333000e-01,1.246800e-01,8.921500e-02
2.400000e+00,1.571500e-01,1.698500e-01,9.787500e-02
2.200000e+00,1.866900e-01,2.195700e-01,1.259200e-01
2.000000e+00,2.123900e-01,2.715900e-01,1.639100e-01
1.900000e+00,2.200400e-01,3.121900e-01,1.892700e-01
1.800000e+00,2.216700e-01,3.580300e-01,2.208400e-01
1.700000e+00,2.141200e-01,4.001600e-01,2.587600e-01
1.600000e+00,1.989900e-01,4.371300e-01,3.103800e-01
1.500000e+00,1.788800e-01,4.798500e-01,3.773900e-01
1.400000e+00,1.608000e-01,5.092400e-01,4.338800e-01
1.300000e+00,1.529500e-01,4.751500e-01,4.948500e-01
1.200000e+00,1.510200e-01,3.793200e-01,5.335000e-01
1.100000e+00,1.346800e-01,3.480100e-01,5.183600e-01
1.000000e+00,1.330500e-01,3.289500e-01,4.212200e-01
9.500000e-01,1.537600e-01,3.180400e-01,3.592200e-01
9.000000e-01,1.757000e-01,3.049000e-01,2.909500e-01
8.500000e-01,1.842400e-01,2.552700e-01,2.434700e-01
8.000000e-01,1.766700e-01,2.191000e-01,2.288900e-01
7.500000e-01,1.717300e-01,2.381800e-01,2.112300e-01
7.000000e-01,1.514300e-01,2.603600e-01,1.941900e-01
6.666700e-01,1.548200e-01,2.697800e-01,1.932600e-01
6.500000e-01,1.560200e-01,2.737700e-01,1.961800e-01
6.000000e-01,1.680600e-01,2.993900e-01,2.052500e-01
5.500000e-01,2.314700e-01,3.226800e-01,2.242400e-01
5.000000e-01,2.334100e-01,3.274500e-01,1.858100e-01
4.800000e-01,2.070700e-01,3.242400e-01,1.722400e-01
4.600000e-01,1.712000e-01,3.150200e-01,1.832600e-01
4.400000e-01,1.599100e-01,3.637900e-01,1.974300e-01
4.200000e-01,1.791000e-01,3.359200e-01,1.843800e-01
4.000000e-01,2.024700e-01,3.221800e-01,1.815000e-01
3.800000e-01,2.174900e-01,3.608700e-01,2.116300e-01
3.600000e-01,2.050700e-01,4.153900e-01,1.953500e-01
3.400000e-01,1.795000e-01,4.342600e-01,1.801000e-01
3.200000e-01,1.829300e-01,4.637100e-01,2.103300e-01
3.000000e-01,2.062800e-01,4.117800e-01,1.990000e-01
2.898600e-01,2.178700e-01,3.570300e-01,1.971000e-01
2.800000e-01,2.368700e-01,3.439300e-01,1.832900e-01
2.600000e-01,2.676100e-01,3.027700e-01,2.056100e-01
2.400000e-01,2.900400e-01,3.056200e-01,1.842800e-01
2.200000e-01,2.734800e-01,3.120500e-01,2.271700e-01
2.000000e-01,2.966800e-01,3.032300e-01,2.169300e-01
1.900000e-01,3.083000e-01,3.229900e-01,1.914400e-01
1.800000e-01,2.752100e-01,4.058300e-01,1.971400e-01
1.700000e-01,2.254900e-01,3.488200e-01,1.928500e-01
